,극혐,조기축구,축구볼때,학교에서
잘,0.11798388361157298,0.1808646412467212,0.18277741154195076,0.10845887718496049
재미,0.020225808619126796,0.03617292824934424,0.056239203551369465,0.008793963014996796
제,0.09775807499244618,0.06511127084881962,0.035149502219605916,0.038107173064986115
조기축구,0.12732362467984915,0.1748831580344254,0.0,0.0
조축,0.030557669923163795,0.06558118426290953,0.0,0.0
존나,0.08397681413656835,0.0,0.0,0.0
좋아,0.0164927115884002,0.035395747136269605,0.0,0.01792713192048166
주님,0.0,0.11090855543834746,0.0,0.0
중,0.12273534373806144,0.0,0.0,0.0
지,0.05813779440223963,0.0,0.0,0.0
지금,0.0659708463536008,0.035395747136269605,0.03439430957745238,0.0
지디가,0.0,0.0,0.1481846637335259,0.0
진따,0.15255758219270188,0.0,0.10318292873235715,0.07170852768192663
진따형,0.030557669923163795,0.0,0.04248381489280015,0.0
진심,0.0,0.05465098688575793,0.0,0.013286144657507588
진짜,0.6061071508737074,0.6902170691572573,0.0,0.2832486843436102
진짜님,0.11132580322170135,0.11503617819287622,0.0,0.08605023321831197
진짜형,0.10112904309563399,0.13022254169763925,0.2601063164250838,0.04396981507498398
찐따,0.09070991373620112,0.0,0.07738719654926786,0.04661054299325231
채널,0.020615889485500253,0.035395747136269605,0.042992886971815476,0.0
체육쌤,0.0,0.0,0.0,0.0449381061922199
초,0.0164927115884002,0.04424468392033701,0.042992886971815476,0.0
총무,0.010185889974387932,0.0765113816400611,0.0,0.0
축구,0.16517743705620216,0.1519262986472458,0.17574751109802958,0.10259623517496262
축구화,0.025464724935969827,0.0,0.0,0.013286144657507588
친구,0.0,0.0,0.03186286116960011,0.026572289315015176
컨텐츠,0.05360131266230065,0.04424468392033701,0.042992886971815476,0.0
팀,0.030557669923163795,0.04372078950860635,0.0,0.0
패스,0.1935319095133707,0.021860394754303174,0.0,0.0
패스안,0.05813779440223963,0.0,0.0,0.0
표정,0.012369533691300151,0.04424468392033701,0.05159146436617858,0.0
피파,0.0,0.0,0.09558858350880033,0.013286144657507588
피파형,0.0,0.0,0.10777066453347338,0.0
하나님,0.0,0.1247721248681409,0.0,0.0
하이라이트,0.0,0.0,0.17512732986689425,0.0
학교,0.020371779948775863,0.0,0.0,0.08414558283088139
학창시절,0.010185889974387932,0.0,0.0,0.031001004200851036
한번,0.030557669923163795,0.0,0.04248381489280015,0.0
허정무,0.0,0.0,0.1885986629335784,0.0
형,0.24270970342952156,0.12298795604777041,0.41476412619134984,0.08500830914496903
혼자,0.09043656907015052,0.0,0.0,0.0
혼자형,0.07751705920298617,0.0,0.0,0.0
회비,0.09689632400373271,0.0,0.0,0.0
흥진중,0.0,0.0,0.0,0.06740715928832985
