,극혐,조기축구,축구볼때,학교에서
사람,0.18729293047316473,0.23156874569752825,0.07399587376835308,0.0
사랑,0.0,0.07125192175308562,0.03699793688417654,0.03136003807409728
산본,0.18508697356026127,0.0,0.0,0.0
상상,0.0,0.0,0.0,0.06550874615716644
생각,0.0,0.08067610700900824,0.05712476574298213,0.0
선생님,0.0,0.0,0.0,0.04913155961787483
선수,0.0,0.0,0.08694662634663985,0.0
선출,0.11737222713577546,0.0,0.0,0.0
소리,0.09028632856598112,0.0,0.0,0.0
수건,0.05417179713958867,0.0,0.0,0.0
수비,0.07118277848154703,0.0,0.0,0.038735885934006814
스타킹,0.05868611356788773,0.0,0.0,0.0
스털링,0.0,0.07441993603937187,0.0,0.0
스포,0.0,0.0,0.07970107415108653,0.0
스푸닝,0.0,0.13023488806890077,0.0,0.0
시간,0.0,0.0,0.0,0.05732015288752063
신입,0.0,0.0,0.0,0.08188593269645805
실력,0.0,0.06511744403445038,0.0,0.0
실제,0.0,0.06511744403445038,0.0,0.0
심판,0.0,0.10232741205413631,0.0,0.0
썸네일,0.0403400157942201,0.04156362102263328,0.06012164743678688,0.0
썸넬,0.0,0.0,0.06520996975997989,0.0
아내,0.0,0.0,0.08694662634663985,0.0
아빠,0.0,0.0,0.11592883512885313,0.0
아저씨,0.04270966708892822,0.14668383092546952,0.0,0.0
안주,0.049657480711289614,0.0,0.0,0.0
약간,0.0,0.0,0.0,0.04913155961787483
양보형,0.06771474642448584,0.0,0.0,0.0
여기,0.08897847310193378,0.09534449010155518,0.0,0.0
여자,0.0,0.0,0.0,0.07369733942681225
여자친구,0.0,0.08372242804429335,0.0,0.0
연기,0.08951878826215061,0.14563278708482094,0.17014633707538668,0.36321755167033937
연기력,0.0,0.03562596087654281,0.05549690532626481,0.06272007614819455
영상,0.15548000066584053,0.13106950837633885,0.14746015879866847,0.136740725334716
오늘,0.07118277848154703,0.0,0.04569981259438571,0.0
완전,0.0,0.0,0.0,0.05732015288752063
외모,0.0,0.0,0.0,0.04913155961787483
왼쪽,0.0,0.0,0.10143773073774648,0.0
요즘,0.0,0.0,0.057964417564426565,0.0
용병,0.12188654356407451,0.0,0.0,0.0
우리,0.03533636378769103,0.16505049202946373,0.08318265368130015,0.034185181333679
웃기,0.06596121240368992,0.12136065590401744,0.06805853483015467,0.08973610100090738
웃음,0.09480064499428016,0.0,0.0,0.0
웃음소리,0.1459246958871714,0.0,0.0,0.05164784791200908
원식,0.0,0.0,0.06520996975997989,0.0
유니폼,0.0,0.0,0.1086832829332998,0.0
유튜브,0.0,0.0,0.057964417564426565,0.0
유형,0.08951878826215061,0.12136065590401744,0.14746015879866847,0.05555091966722838
이름,0.0,0.0,0.0,0.04913155961787483
일진,0.0,0.0,0.0,0.08188593269645805
자기,0.05868611356788773,0.0,0.0,0.0
자매,0.0,0.0,0.0,0.07369733942681225
재생,0.0722290628527849,0.0,0.0,0.0
전쟁,0.0,0.09302492004921484,0.0,0.0
정도,0.0,0.0558149520295289,0.0,0.0
정말,0.0,0.0,0.05712476574298213,0.038735885934006814
정승,0.0,0.06511744403445038,0.0,0.0
제일,0.08186019525377906,0.05867353237018781,0.0,0.0
제트,0.0,0.0,0.30431319221323944,0.0
조기,0.10321502879824318,0.154018022471743,0.0,0.0
존나,0.0633914533909173,0.059376601460904684,0.03699793688417654,0.0
주님,0.0,0.07441993603937187,0.0,0.0
중간,0.0,0.06511744403445038,0.0,0.0
지금,0.08125769570938302,0.0,0.0,0.0
지시,0.1309151764206726,0.0,0.0,0.0
진심,0.0,0.0558149520295289,0.0,0.0
진중,0.0,0.0,0.0,0.1637718653929161
진짜,0.6384103057642846,0.6602019681178549,0.6805853483015467,0.6452452976731912
챔스,0.0,0.0,0.057964417564426565,0.0
처음,0.06771474642448584,0.0,0.0,0.0
체육,0.0,0.0,0.0,0.1555832721232703
총무,0.0,0.20465482410827263,0.0,0.0
축구,0.31096000133168106,0.3446642627674095,0.23064281247996862,0.24356941700246287
치킨,0.0,0.0,0.16664770049772637,0.0
친구,0.03533636378769103,0.029126557416964186,0.05671544569179556,0.029912033666969127
컨텐츠,0.05338708386116026,0.0,0.04569981259438571,0.0
토토,0.0,0.0,0.07970107415108653,0.0
패스,0.3069735171243358,0.0,0.0,0.0
표정,0.0,0.05133934082391434,0.05141228916868392,0.0
피파,0.0,0.0,0.23185767025770626,0.0
하나,0.06406450063339232,0.0,0.0,0.045191866923007945
하나님,0.0,0.1116299040590578,0.0,0.0
하이라이트,0.0,0.0,0.1086832829332998,0.0
학교,0.0,0.0,0.0,0.23746920481972833
학창시절,0.0,0.0,0.0,0.06550874615716644
항상,0.0,0.0558149520295289,0.0,0.0
